Question,Answer
What is the definition of a crime under Indian law?,A crime is an act or omission that violates the law and is punishable by the state.
What is the primary objective of criminal law?,"To maintain public order and safety, protect individuals and property, and provide justice to victims."
What are the two essential elements of a crime?,Actus reus (guilty act) and mens rea (guilty mind).
What is the punishment for theft under the Indian Penal Code?,"Imprisonment up to 3 years, or fine, or both (Section 379, IPC)."
What is the difference between bailable and non-bailable offences?,"Bailable offences allow the accused to secure bail as a matter of right, while non-bailable offences require court discretion for bail."
What is 'cognizable' and 'non-cognizable' offence?,"Cognizable offences are those where the police can arrest without a warrant, while non-cognizable offences require a warrant for arrest."
What is the punishment for murder under the IPC?,"Death or life imprisonment, and a fine (Section 302, IPC)."
What is meant by 'abetment' under Indian law?,"Encouraging, aiding, or conspiring to commit a crime (Section 107, IPC)."
What is the legal age for criminal responsibility in India?,"18 years, except in certain cases under the Juvenile Justice (Care and Protection of Children) Act, 2015."
What is 'culpable homicide' under the IPC?,"An act causing the death of a person, with the intention of causing death or with knowledge that it is likely to cause death (Section 299, IPC)."
What is the short title of Act No. 45 of 1860?,The Indian Penal Code.
When was the Indian Penal Code enacted?,"On 6th October, 1860."
To what extent does the Indian Penal Code apply?,It extends to the whole of India.
What is the definition of 'offence' under the IPC?,An offence is any act or omission punishable by law.
What is the punishment for murder under Section 302 of the IPC?,"Death, or imprisonment for life, and fine."
Which section of the IPC deals with theft?,Section 378.
What is the punishment for theft under the IPC?,"Imprisonment of up to 3 years, or fine, or both (Section 379)."
What constitutes robbery under the IPC?,Robbery is theft accompanied by violence or threat of violence (Section 390).
What is dacoity under the IPC?,When five or more persons commit or attempt to commit robbery (Section 391).
What is the punishment for dacoity under the IPC?,"Imprisonment for life, or rigorous imprisonment of up to 10 years, and fine (Section 395)."
What is criminal conspiracy under the IPC?,When two or more persons agree to commit an illegal act or a legal act by illegal means (Section 120A).
What is the punishment for criminal conspiracy?,"It depends on the severity of the offence, ranging from imprisonment to life imprisonment (Section 120B)."
What is criminal breach of trust?,"When a person, entrusted with property, dishonestly misappropriates it (Section 405)."
What is cheating under the IPC?,Deceiving someone to deliver property or to do or omit to do an act (Section 415).
What is the punishment for cheating under the IPC?,"Imprisonment of up to 3 years, or fine, or both (Section 417)."
What is defamation under the IPC?,"The act of harming a person's reputation by words, signs, or visible representations (Section 499)."
What is the punishment for defamation?,"Imprisonment of up to 2 years, or fine, or both (Section 500)."
What is kidnapping under the IPC?,Taking a person away without their consent (Section 359).
What is abduction under the IPC?,Forcibly or deceitfully taking a person from one place to another (Section 362).
What is the difference between kidnapping and abduction?,"Kidnapping involves minors or persons of unsound mind, while abduction can involve any person."
What is the punishment for voluntarily causing hurt?,"Imprisonment of up to 1 year, or fine up to Ã¢ÂÂ¹1,000, or both (Section 323)."
What is grievous hurt under the IPC?,"Severe bodily harm, such as loss of sight, limb, or permanent disfigurement (Section 320)."
What is the punishment for grievous hurt?,"Imprisonment of up to 7 years, and fine (Section 325)."
What is the punishment for wrongful restraint?,"Imprisonment of up to 1 month, or fine up to Ã¢ÂÂ¹500, or both (Section 341)."
What is wrongful confinement under the IPC?,Restricting a personÃ¢ÂÂs freedom to move beyond a certain area (Section 340).
What is criminal intimidation under the IPC?,"Threatening a person to harm their body, reputation, or property (Section 503)."
What is the punishment for criminal intimidation?,"Imprisonment of up to 2 years, or fine, or both (Section 506)."
What is forgery under the IPC?,Making a false document with intent to cause damage or harm (Section 463).
What is the punishment for forgery?,"Imprisonment of up to 2 years, or fine, or both (Section 465)."
What is assault under the IPC?,An attempt or threat to use criminal force (Section 351).
What is the punishment for assault?,"Imprisonment of up to 3 months, or fine up to Ã¢ÂÂ¹500, or both (Section 352)."
What is public nuisance under the IPC?,An act causing injury or annoyance to the public (Section 268).
What is the punishment for public nuisance?,Fine up to Ã¢ÂÂ¹200 (Section 290).
What is criminal trespass under the IPC?,Unlawful entry into someoneÃ¢ÂÂs property with intent to commit an offence (Section 441).
What is the punishment for criminal trespass?,"Imprisonment of up to 3 months, or fine up to Ã¢ÂÂ¹500, or both (Section 447)."
What is rioting under the IPC?,Unlawful assembly with the intent to use force (Section 146).
What is the punishment for rioting?,"Imprisonment of up to 2 years, or fine, or both (Section 147)."
What is an unlawful assembly under the IPC?,A group of five or more persons with a common intent to commit an offence (Section 141).
What is mischief under the IPC?,Causing damage to property with intent to cause loss (Section 425).
What is the punishment for mischief?,"Imprisonment of up to 3 months, or fine, or both (Section 426)."
What is criminal breach of contract of service under the IPC?,When a person bound by a service contract willfully breaches it (Section 491).
What is the punishment for criminal breach of contract of service?,"Imprisonment of up to 3 months, or fine, or both (Section 491)."
What is the definition of 'homicide' under the IPC?,"The act of killing a human being, either lawfully or unlawfully (Sections 299-300)."
What is culpable homicide?,Causing the death of a person with the intention to cause death or bodily injury likely to cause death (Section 299).
What is the difference between culpable homicide and murder?,"Murder (Section 300) is a more severe form of culpable homicide with a clear intention to kill, without lawful excuse."
What is dowry death under the IPC?,Death of a woman within 7 years of marriage due to cruelty related to dowry (Section 304B).
What is the punishment for dowry death?,"Imprisonment of not less than 7 years, which may extend to life imprisonment (Section 304B)."
What is the punishment for voluntarily causing death by rash or negligent act?,"Imprisonment of up to 2 years, or fine, or both (Section 304A)."
What is abetment under the IPC?,"Encouraging, aiding, or conspiring to commit an offence (Section 107)."
What is the punishment for abetment of an offence?,Same as the punishment for the principal offence (Section 109).
What is criminal force under the IPC?,"Intentionally using force to cause injury, fear, or annoyance (Section 350)."
What is the punishment for using criminal force?,"Imprisonment of up to 3 months, or fine up to Ã¢ÂÂ¹500, or both (Section 352)."
What is house-trespass under the IPC?,Unlawfully entering a house with intent to commit an offence (Section 442).
What is the punishment for house-trespass?,"Imprisonment of up to 1 year, or fine up to Ã¢ÂÂ¹1,000, or both (Section 448)."
What is extortion under the IPC?,Forcing a person to deliver property by putting them in fear of injury (Section 383).
What is the punishment for extortion?,"Imprisonment of up to 3 years, or fine, or both (Section 384)."
What is criminal breach of trust by a public servant?,Misappropriation of property entrusted in the capacity of a public servant (Section 409).
What is the punishment for criminal breach of trust by a public servant?,"Imprisonment for life, or up to 10 years, and fine (Section 409)."
What is the definition of 'public servant' under the IPC?,A person appointed to a public office or engaged in public duty (Section 21).
What is criminal intimidation by anonymous communication?,Threatening someone anonymously to cause alarm or harm (Section 507).
What is the punishment for criminal intimidation by anonymous communication?,"Imprisonment of up to 2 years, in addition to the punishment for criminal intimidation (Section 507)."
What is a false statement under the IPC?,Making a false declaration or statement with intent to deceive (Section 191).
What is perjury under the IPC?,Giving false evidence in a judicial proceeding (Section 193).
What is the punishment for perjury?,"Imprisonment of up to 7 years, and fine (Section 193)."
What is adultery under the IPC?,"Adultery was a criminal offence under Section 497, but it was decriminalized in 2018."
What is bigamy under the IPC?,Marrying someone while the first spouse is still alive (Section 494).
What is the punishment for bigamy?,"Imprisonment of up to 7 years, and fine (Section 494)."
What is sedition under the IPC?,Inciting hatred or disaffection against the government (Section 124A).
What is the punishment for sedition?,"Imprisonment for life, or up to 3 years, and fine (Section 124A)."
What is the punishment for public mischief?,"Imprisonment of up to 3 years, or fine, or both (Section 505)."
What is the Code of Criminal Procedure (CrPC)?,"ItÂs the main law that outlines the procedure for investigation, trial, and punishment of criminal offences in India."
When was the CrPC enacted?,"It was enacted in 1973 and came into force on April 1, 1974."
Does the CrPC apply to all of India?,"Yes, except for certain provisions in Nagaland and tribal areas unless specifically extended."
What is a cognizable offence?,An offence where the police can arrest without a warrant.
What is a non-cognizable offence?,An offence where police need permission from a Magistrate to arrest someone.
What is a bailable offence?,An offence where bail is a right and must be granted.
What is a non-bailable offence?,An offence where bail is not a right and is granted at the court's discretion.
Who is a Public Prosecutor?,A lawyer appointed by the government to represent the state in criminal cases.
What does FIR stand for?,First Information Report - ItÂs the first step to start a police investigation.
"What is meant by ""taking cognizance""Â of an offence?",It means a Magistrate is aware of the offence and decides to proceed with judicial action.
